主,客,主得,,主失,,客得,,客失,,主10,,客10,,主,客,勝負,,,,,
尼克,雷霆,111.40,-0.20,115.30,0.71,113.60,0.21,113.00,0.18,0.50,0.05,0.50,-0.06,135.00,145.00,0.00,-10.00,0.62,1.00,0.00,-10.00
騎士,灰狼,115.10,0.68,108.30,-0.97,111.40,-0.27,115.70,0.78,0.70,1.18,0.30,-1.12,124.00,129.00,0.00,-5.00,4.71,0.00,,
巫師,灰熊,108.80,-0.81,111.50,-0.21,117.50,1.07,111.50,-0.15,0.50,0.05,0.70,0.99,102.00,92.00,1.00,10.00,2.84,0.00,,
76人,爵士,110.40,-0.43,106.30,-1.45,117.10,0.98,112.30,0.03,0.60,0.61,0.70,0.99,105.00,98.00,1.00,7.00,4.61,0.00,,
公牛,金塊,113.60,0.32,108.90,-0.83,116.60,0.87,114.30,0.47,0.50,0.05,0.70,0.99,103.00,126.00,0.00,-23.00,2.75,0.00,,
國王,勇士,117.10,1.15,117.00,1.11,115.00,0.52,119.10,1.52,0.50,0.05,0.40,-0.59,122.00,115.00,1.00,7.00,5.50,0.00,,
湖人,籃網,109.30,-0.69,117.10,1.14,109.70,-0.64,103.70,-1.86,0.20,-1.65,0.50,-0.06,116.00,103.00,1.00,13.00,8.37,0.00,,
活塞,暴龍,108.40,-0.91,117.50,1.23,114.40,0.39,111.50,-0.15,0.20,-1.65,0.50,-0.06,111.00,115.00,0.00,-4.00,5.23,0.00,,
魔術,黃蜂,110.80,-0.34,111.40,-0.23,102.40,-2.25,113.70,0.34,0.40,-0.52,0.10,-2.17,105.00,112.00,0.00,-7.00,10.30,0.00,,
熱火,太陽,111.30,-0.22,109.20,-0.76,113.20,0.13,104.80,-1.62,0.50,0.05,0.70,0.99,113.00,112.00,1.00,1.00,4.24,0.00,,
賽爾提克,雷霆,119.10,1.62,113.50,0.27,117.50,1.07,114.90,0.60,0.70,1.18,0.60,0.46,126.00,122.00,1.00,4.00,5.80,0.00,,
火箭,快艇,109.50,-0.65,116.10,0.90,104.20,-1.85,107.60,-1.00,0.20,-1.65,0.50,-0.06,106.00,122.00,0.00,-16.00,8.37,0.00,,
公鹿,老鷹,112.80,0.13,107.70,-1.12,116.30,0.81,114.60,0.53,0.80,1.74,0.60,0.46,106.00,121.00,0.00,-15.00,5.44,0.00,,
